idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,1.41461071081239,0.0395550049306638,0.0495358852008212,0.0180032924379573,0.184698901729343,0.559915516501186,0.368186372320879,45,43.72,349,0.44,2.70485622519889,2.45018371378701,2.64445430421516,0,4
2,1.37617621587357,0.00895216786770964,0.0253612638252048,0.007350554873362,0.177940930485816,0.581464177346153,0.442524401842529,45,43.74,347,0.44,2.66926473920315,2.42034542416912,2.61231691051079,0,4
3,1.22905269252857,0.012365741139903,0.0359658750722103,0.012129284801328,0.184668938057869,0.568683812747595,0.38594665187574,45,43.76,345,0.43,2.63520857148101,2.38997045300387,2.57836304248273,0,4
4,1.38260501758756,0.0196581205057165,0.0407926635703125,0.0162346568531003,0.145170126931887,0.555054605772278,0.416619109989814,45,43.78,344,0.42,2.59931538326482,2.35487011055382,2.54227812186532,0,4
5,1.46303816463001,0.0170955346639949,0.0394400917480831,0.013054322292561,0.198551672425762,0.599804693933427,0.412005111212959,45,43.8,342,0.41,2.5672321080505,2.32517557482947,2.50958785444566,0,4
6,1.41977214161653,0.0157177050745043,0.0374443103139965,0.0141207234760541,0.165071235227003,0.564083257071379,0.348265002847269,45,43.82,340,0.4,2.53083067341624,2.29192862837882,2.47043167172206,0,4
7,1.35842764096314,0.0192364776099538,0.0406886515185559,0.0193739962801946,0.199939299612679,0.533390715356953,0.378099226476676,45,43.84,338,0.39,2.49515947559568,2.26187762511864,2.43436873009605,0,4
8,1.18808163907182,0.0156020274527377,0.0533648076873672,0.0136283542112829,0.18895160711354,0.543665027304607,0.319922539848588,45,43.86,335,0.38,2.45173568840457,2.2256879098949,2.38824156915627,0,4
9,1.45208729393437,0.0144992279371443,0.0354110922259885,0.00952165557783758,0.168845822822479,0.471060739069819,0.3808939839762,45,43.88,332,0.37,2.40192366412619,2.18043249792474,2.33145188677405,0,4
10,1.4149554332445,0.0107621413085374,0.0417127967700852,0.00948357083821686,0.194234609666855,0.528101300800572,0.423720024366107,45,43.9,330,0.37,2.3740547857931,2.15384591468395,2.30575784168113,0,4
11,1.43100467297632,0.0188840635147808,0.0292122854522562,0.0121986983144321,0.155450768456806,0.506864517280756,0.323702464405676,45,43.92,327,0.35,2.33598674470011,2.12061441977379,2.26591975962299,0,4
12,1.10961597597145,0.0186881537945281,0.0408143593398529,0.0113589366375362,0.214398445629019,0.555693629587798,0.376859004500889,45,43.94,324,0.35,2.30285385908459,2.08910426621808,2.22976032622993,0,4
13,1.12978703202588,0.014136761647774,0.0281799897740901,0.0110529511643192,0.199493704745551,0.545271565051431,0.37819715305838,45,43.96,321,0.34,2.25582163095784,2.04227112630289,2.18296372887922,0,4
14,1.26172975642127,0.0119740686140948,0.0390451240284916,0.0122940444386042,0.183857548880621,0.527887307962597,0.315816407778246,45,43.98,319,0.33,2.21781151171672,2.00649543859406,2.14243872277634,0,4
15,1.38141904074541,0.0523087248305613,0.0551266416879031,0.0276630404028541,0.216564102286615,0.506699448126798,0.371147493368518,45,44,314,0.32,2.16984910527562,1.95597056987351,2.08862953557288,0,4
16,1.31299690264436,0.0145140622835194,0.0273741087944348,0.0122474479266593,0.160952289489288,0.513726322440793,0.319687518526293,45,44.02,311,0.3,2.12780278950647,1.92085580880424,2.04808505594266,0,4
17,1.22914525873632,0.0282708316046177,0.0514080207069889,0.0185114976824024,0.173310566848087,0.499098314174484,0.393987890805616,45,44.04,307,0.29,2.08617924324779,1.8796443418533,2.0024199893666,0,4
18,1.0314130965563,0.0105369187586914,0.0307740456357796,0.00984690693678122,0.176482298753886,0.508116609053048,0.350028915593748,45,44.06,303,0.28,2.0327646151989,1.8309026046934,1.95001171931247,0,4
19,1.17489944953338,0.0201784427253497,0.0357102405717385,0.0116612464518672,0.14774069066197,0.429217203510501,0.331440183572264,45,44.08,298,0.27,1.9889499133641,1.78984103062461,1.90474514300315,0,4
20,1.28727710764702,0.0327453688480367,0.055752553165844,0.0290782721201709,0.204072762993148,0.496298507935888,0.359066123171624,45,44.1,294,0.26,1.94593245551764,1.75037884764074,1.85950822767582,0,4
21,1.24821873085804,0.0198910298986008,0.0376804280877166,0.0147531046088567,0.153576050874397,0.501227277326099,0.34837727816335,45,44.12,289,0.25,1.89909135788183,1.70733012660539,1.81176740628655,0,4
22,0.973988744934543,0.020581474627562,0.037398000723516,0.0142913677483671,0.193017620337424,0.467238121735205,0.355234012516623,45,44.14,282,0.24,1.83972776655969,1.65084639078896,1.7493052789628,0,4
23,1.05433545112857,0.0110465217891781,0.0399267948313912,0.0168451293575367,0.181802214763922,0.478359940981705,0.26760598131071,45,44.16,277,0.23,1.78672961491705,1.60569276935903,1.69729625298064,0,4
24,1.12822901494539,0.0374691233189576,0.0352537477883717,0.102807667543772,0.136583324258744,0.443981690476753,0.339254072123921,45,44.18,269,0.21,1.73282490377337,1.55821459370857,1.64277118928907,0,4
25,1.12938369889624,0.0612790353024733,0.112116380418794,0.0846893889810504,0.179631180903425,0.408836695567061,0.34730292644475,45,44.2,262,0.2,1.67143303000566,1.50377636647132,1.58266514554086,0,4
26,1.10776026154383,0.022601188572274,0.0393800676571093,0.017403653540966,0.151322040429269,0.446874963144016,0.270067184522032,45,44.22,255,0.19,1.61469340713822,1.45689106912768,1.52841825497952,0,4
27,0.807055472059448,0.0131084821186089,0.0385684319573615,0.0110908907011129,0.165837641132198,0.430378439532142,0.284018012306025,45,44.24,247,0.18,1.55266794538034,1.40313830054701,1.4685766042986,0,4
28,0.809455962597766,0.0202078293882024,0.031828259466496,0.0139416499495053,0.159614316900171,0.373940570733101,0.321254029628153,45,44.26,237,0.16,1.48796476020032,1.34291229245631,1.40536408169278,0,4
29,0.950059211700356,0.0401364627358206,0.0956787355775643,0.0816598315026422,0.115750730590618,0.336977239824217,0.272129562996642,45,44.28,224,0.14,1.38821966539197,1.25540046485438,1.31138902897324,0,4
30,0.923671631962242,0.0426027584357435,0.073935198064861,0.0710240352519255,0.158654055339129,0.348582393045492,0.26628907950216,45,44.3,212,0.28,1.32404442902416,1.19420635959478,1.25008358022542,0,4
31,1.21110153006638,0.0376718364206541,0.0361971471143645,0.0152982815674766,0.201432556126671,0.557968322260371,0.430825930454762,47.5,46.24,349,0.44,2.71408794180251,2.44030875919303,2.63981461252257,0,4
32,1.24971863817909,0.0344936197214414,0.0369413037676409,0.0158552965708334,0.166972949736176,0.587070181754287,0.502482679129845,47.5,46.26,347,0.43,2.67992793750035,2.40730074627234,2.60224687925878,0,4
33,1.36481382263387,0.0227560656535672,0.035570724857492,0.010564710364832,0.150815645187366,0.529751328094048,0.413742140934275,47.5,46.28,345,0.42,2.64358270507453,2.37519143303785,2.57019107190413,0,4
