,0,1,2,3,4,5,6
0,58.6,15.32,11.69,4.84,8.2,1.34,0.0
1,47.13,20.53,14.78,7.88,9.52,0.16,0.0
2,24.39,9.5,34.64,24.95,4.28,2.05,0.19
3,9.11,5.28,7.29,70.49,0.0,7.29,0.55
4,45.76,16.76,13.56,5.27,18.08,0.38,0.19
5,1.12,0.8,8.01,14.1,0.16,70.99,4.81
6,0.0,0.0,0.0,2.32,0.0,8.02,89.66
