,0,1,2,3,4,5,6
0,74.19,10.48,7.26,0.81,1.61,2.82,2.82
1,40.89,20.2,5.42,2.96,15.76,10.84,3.94
2,50.28,12.29,7.82,3.35,13.97,8.38,3.91
3,39.89,25.68,4.37,6.01,8.2,10.38,5.46
4,44.07,22.03,4.52,3.39,16.95,8.47,0.56
5,45.19,17.79,4.81,8.17,13.94,6.73,3.37
6,51.97,11.81,4.72,2.36,7.09,9.45,12.6
