idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
5,1.37676176759249,0.0146226540018145,0.0397073520907192,0.0117078903211139,0.15523483639575,0.49256805840903,0.411717382365569,45,43.81,369,0.56,2.88087170435847,2.89043148056985,2.9467914147733,0,2
6,1.20001660325592,0.0127309252558377,0.0308180298510272,0.019260256569314,0.188202019160391,0.539470700301386,0.379062693064312,45,43.84,365,0.55,2.84021628927595,2.84738616894099,2.90768741184272,0,2
7,1.21848203518023,0.0120614548591829,0.0378060377707328,0.00934512095726178,0.187000055511881,0.390330227157068,0.386288694235214,45,43.87,363,0.53,2.78583018660894,2.79250852267955,2.85373925200272,0,2
8,1.33834683572653,0.0144707993854377,0.0306946570881438,0.012746377908428,0.182391265001212,0.53586854555677,0.354560124730142,45,43.9,361,0.52,2.72704248514748,2.73417908790362,2.79488946959702,0,2
9,1.20402286143289,0.0169718242933609,0.0350045812595695,0.0181081795839994,0.190413509782403,0.463889761194432,0.290774474320625,45,43.93,360,0.51,2.66955527269132,2.6776270562983,2.73766081788863,0,2
10,1.07826256729776,0.0218484069004194,0.0288536994229235,0.0127216032878849,0.164238755824798,0.520654448791566,0.381560280123807,45,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
11,1.31676731667251,0.0276322381451533,0.0362706150552478,0.0117161759385036,0.163270713538286,0.44274385899349,0.308166515077323,45,43.99,353,0.47,2.56453426281941,2.57287788950592,2.63688393150842,0,2
12,1.25434156907807,0.0165499010488257,0.0417949290976928,0.0132338085039152,0.165079240614924,0.520911848655967,0.309467946617794,45,44.02,349,0.46,2.50098929180317,2.50287900171915,2.57511428804181,0,2
13,1.03199251677786,0.0145212244246684,0.0396101841304672,0.0182979258940295,0.133824474156917,0.418386723274913,0.285118654601454,45,44.05,346,0.45,2.45508373610053,2.45559472269113,2.52840054525723,0,2
14,1.34124907661704,0.0135362599787818,0.0440243098152042,0.0153099361520248,0.154898848213127,0.491263377181574,0.33772487910012,45,44.08,342,0.43,2.38760976217588,2.38457450324621,2.45849402021576,0,2
15,1.2875069126079,0.0389533302302415,0.0425997846775159,0.0207107977465495,0.156869170306314,0.425353065334617,0.352407753642299,45,44.11,338,0.4,2.32020364102225,2.31571059974247,2.38538997537803,0,2
16,0.965275669198438,0.0115539996315363,0.0388729883301966,0.0176101219986971,0.175492828169106,0.450415711649598,0.361445250333458,45,44.14,333,0.39,2.2480368700074,2.24611214303983,2.30868856452657,0,2
17,1.10975346619539,0.0138244477780264,0.0364797818030592,0.0327980165494997,0.192668629517379,0.328749035899099,0.348061985559318,45,44.17,329,0.37,2.19189877951206,2.18983617790275,2.24641244062917,0,2
18,1.2522347180781,0.0500785291759551,0.105398803657563,0.0872157708738919,0.190311803754592,0.461690886424517,0.359548039207866,45,44.2,323,0.35,2.10631179328734,2.10051510743231,2.15270369021927,0,2
19,1.12612868744423,0.0140624443840555,0.0401687788418656,0.0149156100531127,0.18120787686855,0.4397784312091,0.326771603855143,45,44.23,316,0.33,2.02683292760475,2.02418950013487,2.06585462762877,0,2
20,1.08579456318952,0.0162444677157569,0.0372126993936111,0.0116870983633082,0.160410911077451,0.489894669714756,0.326360206156605,45,44.26,311,0.31,1.96448570739838,1.96272529784183,1.99999508262116,0,2
21,1.09786246137977,0.0349956477878142,0.0692020886917672,0.081445620037631,0.162256061015472,0.364505957639689,0.278800385657585,45,44.29,303,0.29,1.8803201343814,1.87901851200483,1.91291368253185,0,2
22,1.09184961934155,0.0133288779804857,0.0596581262903874,0.0399777187903287,0.153937204751435,0.424660801482944,0.262932954141933,45,44.32,294,0.27,1.79036173095473,1.78826777241565,1.81684243914981,0,2
23,0.812569933338103,0.0112156377375924,0.0262080058653206,0.0138375076042936,0.151744372021294,0.387738207660082,0.281880733652559,45,44.35,283,0.24,1.68750861369002,1.68912972725731,1.70970761759703,0,2
24,0.961198775473244,0.00808213359590394,0.0477825199983506,0.00940226513395802,0.143395781871442,0.403745715595755,0.24368906936822,45,44.38,270,0.22,1.58915701581682,1.59575795962458,1.61033797953611,0,2
25,1.03001870647318,0.0149212805091607,0.031995381537895,0.0140294431061878,0.134164408756676,0.323550565604928,0.270364181983921,45,44.41,254,0.19,1.47332533620472,1.4827260508044,1.49171787007813,0,2
26,0.780227899503731,0.010073007211965,0.0317399639223674,0.00834829722419485,0.146600293808186,0.329376847225072,0.26107362263564,45,44.44,233,0.17,1.33742630000395,1.346336350983,1.35335142342819,0,2
27,0.676703039337949,0.00949217352945873,0.024964246005086,0.0111511904525062,0.168048167538105,0.212706688908099,0.222975101901969,45,44.47,210,0.12,1.18398103499212,1.1958681833032,1.19918379074125,0,2
28,1.26663783303043,0.0292019231091497,0.0394644241108555,0.0116068889656578,0.170889213241331,0.491946806476892,0.373431258247273,47.5,46.22,374,0.59,3.04392522054663,3.04604649969361,3.104251663764,0,2
29,1.0816919468353,0.0328734865901421,0.0312079759607476,0.0108311655829632,0.167803134573099,0.448832809935287,0.363070894218662,47.5,46.25,373,0.58,3.00656088421987,3.00995527033553,3.06597977873744,0,2
30,1.23866437111236,0.0394949814179988,0.0367009822942005,0.0115485834829146,0.153795139120426,0.466548581764371,0.330597070320995,47.5,46.28,372,0.57,2.95603779015915,2.95466795765418,3.01565570687535,0,2
31,1.26194888794834,0.0311221694795746,0.0270665288537601,0.0146700193270846,0.166271644346048,0.446273522143856,0.421405403836249,47.5,46.31,368,0.56,2.90620342228133,2.9056654283882,2.96756823476066,0,2
32,1.00142017705307,0.0316640486322086,0.0377997141658588,0.0157317734533934,0.177649714097682,0.503423249770854,0.410935363935943,47.5,46.34,366,0.54,2.84751838509749,2.84604064648914,2.9105070216359,0,2
33,1.1342562448904,0.0295636248141739,0.0292783769514298,0.0144232602014015,0.193829282598012,0.400899577765181,0.445824787294622,47.5,46.37,364,0.52,2.79816533797005,2.79819502962451,2.86316725794566,0,2
34,1.24376395229527,0.0268463150815086,0.0354092033873903,0.0221356468682998,0.180252573190812,0.459328754830488,0.408150249956575,47.5,46.41,361,0.51,2.74385774128057,2.74216226890262,2.80853931236335,0,2
35,1.1436460214013,0.0340970821816202,0.0286383129774172,0.0110082480091977,0.184113430295615,0.413252923402258,0.335245538875178,47.5,46.43,359,0.49,2.68148157551259,2.6803216820649,2.74760687153402,0,2
36,1.07964492794074,0.0439000756974132,0.0608818353739032,0.0257081597342702,0.197381436010795,0.482606759329214,0.315510122152824,47.5,46.46,356,0.48,2.62401170557911,2.62367821559686,2.68987280624155,0,2
37,1.19722153858394,0.0409499625978916,0.0418317978193574,0.0198046453277192,0.164372322476029,0.393399101918295,0.336828167776117,47.5,46.49,354,0.47,2.5747624389351,2.57321098695639,2.6424301664431,0,2
38,1.2066800474118,0.0293841661485803,0.041554607748398,0.0160773063591536,0.170250726125564,0.470675463191076,0.310155091953942,47.5,46.52,350,0.45,2.5132081793067,2.51178717759097,2.58183431317897,0,2
39,0.9414994379258,0.036243265038982,0.0473978922246555,0.0238740151299637,0.149794474987176,0.388873749627211,0.36898465576657,47.5,46.55,347,0.44,2.44679970963309,2.44360906340604,2.51563604228157,0,2
40,1.16009332551583,0.0269576946211415,0.0333878290114192,0.0136240824539418,0.146277245607241,0.436307278315372,0.314304416783344,47.5,46.58,343,0.42,2.39908596154588,2.39605230754201,2.46557675027176,0,2
41,1.18165477427441,0.0223506410165613,0.0397422028026938,0.0183297543699757,0.170948035730878,0.403406861465555,0.375054159663798,47.5,46.61,340,0.41,2.33295299322845,2.32909533337322,2.40060267253873,0,2
42,0.966086682574541,0.0217221619858381,0.0411417623473972,0.0158774447988512,0.184733233539332,0.398334070329574,0.378288050356864,47.5,46.64,335,0.38,2.26490377409448,2.25566531440169,2.32738704915395,0,2
43,1.22923563882605,0.0951662832911275,0.0892066737971031,0.0547102974882404,0.171859804983946,0.458959698175518,0.366615400711301,47.5,46.67,330,0.37,2.19274680637907,2.18167371708815,2.2462137082317,0,2
44,1.15986506056012,0.117515793330189,0.0877051040545436,0.0541658029931626,0.187147491174716,0.422928623868757,0.383441586735323,47.5,46.7,325,0.36,2.13578275714664,2.12287019672521,2.18069354524793,0,2
45,1.05433742836549,0.0222600202343458,0.0354278879792155,0.0114037756236966,0.183120827729115,0.38804458818088,0.365806817836838,47.5,46.73,319,0.34,2.05102522001974,2.04584929202525,2.0917581401276,0,2
46,0.957466639174339,0.102826329715091,0.100613109005021,0.0559725688827575,0.187042253107385,0.366433271341494,0.265657675144622,47.5,46.76,312,0.34,1.97105363231648,1.96511815594549,2.00588113917428,0,2
47,1.08939769136417,0.112133958136644,0.116494950446087,0.0437206436883052,0.182273535237192,0.352045545374899,0.307286675753755,47.5,46.79,305,0.29,1.89957003210622,1.89096421071505,1.92932080204934,0,2
48,1.05656167606863,0.0300126584669351,0.0251676602479746,0.0188692706192702,0.149563785742764,0.387469333002074,0.242274693104786,47.5,46.82,296,0.27,1.80616150737364,1.80421389663887,1.83337925885048,0,2
49,0.766988531286512,0.021154649318156,0.0350584638286138,0.0120836872717586,0.162368292910358,0.309931280917609,0.296502863728954,47.5,46.85,286,0.24,1.70694221928604,1.70818026962397,1.72927066340636,0,2
50,0.99048776511577,0.0256154542296352,0.0330375354919678,0.013162343866569,0.148572984237983,0.373164506450175,0.316132427164081,47.5,46.88,272,0.22,1.60328373610548,1.60588372849717,1.62490446539272,0,2
51,0.929598499928291,0.0404171317711724,0.0411492382041604,0.0350848747336665,0.17461498296703,0.237182956051629,0.285256064313592,47.5,46.91,259,0.2,1.50805902556771,1.51406212362862,1.52886489782708,0,2
52,0.733931208213978,0.0243007764078273,0.029940721359724,0.0243176747156088,0.150162622517439,0.304171617101049,0.277372315195665,47.5,46.94,239,0.16,1.36905332845777,1.37746203157743,1.38749887833185,0,2
53,0.860289244243794,0.0190256935242062,0.0496331114896934,0.0277940239403516,0.148896044085039,0.279806108721623,0.250126316378413,47.5,46.97,210,0.14,1.20288617690009,1.21231232162269,1.21834982498882,0,2
54,1.22650441690432,0.0237688725425807,0.0310109871228415,0.060574465801173,0.167147367777625,0.382701281777175,0.30886761685808,50,48.72,377,0.61,3.10035585146692,3.09743473937333,3.16152275749752,0,2
55,0.964409474874285,0.0137904693976386,0.0292083746311385,0.032399980736556,0.134560843878619,0.374235553517469,0.444886313262049,50,48.75,375,0.6,3.05164574985153,3.0513778793666,3.11457444701211,0,2
56,1.22852603763192,0.0127771020335784,0.0328031382357191,0.0345416901964535,0.156692173205441,0.397862649454155,0.364873884313798,50,48.78,373,0.58,3.01221628878162,3.01092716018332,3.07686568306787,0,2
57,1.23583802955777,0.0269746577486268,0.0380551701486024,0.0380060528369174,0.167762520738097,0.342354893059485,0.438431892683994,50,48.81,371,0.56,2.95230488486705,2.95254423639568,3.01880737970653,0,2
58,1.01775531461621,0.0227609081588527,0.0303403268513039,0.0309058853689643,0.192558700429453,0.403369935552101,0.448852986727139,50,48.84,369,0.55,2.90462769567583,2.90113115745008,2.9712986736788,0,2
59,1.16904649489134,0.0121282091432574,0.0362523578644149,0.0199692782945663,0.178242568424657,0.375591523507414,0.393755553892541,50,48.87,367,0.54,2.84839707165329,2.84635885409525,2.91615249514017,0,2
60,1.28707604180224,0.00947471743661339,0.0362984131136445,0.0263965543195631,0.190914915376969,0.404831401231115,0.451170730895812,50,48.9,365,0.53,2.81014348858722,2.80723027321844,2.87766996522658,0,2
61,1.0959474987205,0.0137358565280824,0.0374313466040326,0.0250219724510522,0.213612390474639,0.351660793117257,0.407232531227392,50,48.93,362,0.51,2.75239470290415,2.74823419498509,2.82190407570053,0,2
62,1.05990553527833,0.012328831621785,0.0383329259246113,0.0243820326259366,0.194489447327062,0.412574188029574,0.315299291796057,50,48.96,360,0.49,2.69197059405096,2.68713516876898,2.76042564727897,0,2
63,1.19185907495512,0.017108929332108,0.0283404990160683,0.0251262105438848,0.165472587172659,0.342247295876871,0.401455083783972,50,48.99,357,0.47,2.6448397032246,2.6386431899507,2.7135755947627,0,2
64,1.16078308584254,0.0104828636641875,0.0299726607024025,0.0250435731301855,0.145752965720618,0.376307454626549,0.340106799161447,50,49.02,354,0.46,2.57870684840835,2.57167414404888,2.65486564743653,0,2
65,1.05112155967184,0.0140532010622691,0.0270992071400925,0.0234639373307503,0.152634741180925,0.414138744453986,0.385763845159121,50,49.05,351,0.45,2.51423322189098,2.50181888511438,2.58562557529765,0,2
66,1.17684326892271,0.00878957166007074,0.0438987041114157,0.0191402385646128,0.138399254219523,0.350666499093945,0.403405143871373,50,49.08,347,0.44,2.451055965549,2.43431342986519,2.51765325580084,0,2
67,1.13164207494507,0.00966244438980514,0.0388834716199423,0.0217663481180961,0.17558242343145,0.331938332859466,0.364817550131202,50,49.11,344,0.41,2.40047322032926,2.38033266383661,2.46533480550242,0,2
68,0.966078438413876,0.0167478520606201,0.0326999549485357,0.0342084510588497,0.188553871224194,0.366778727856311,0.388363624228967,50,49.14,339,0.39,2.32893473333178,2.3081135521889,2.38767043240804,0,2
69,1.05456378833286,0.0189693358839282,0.0421046189460113,0.0189960114788253,0.183823975606826,0.341352519264481,0.389114496122892,50,49.17,334,0.38,2.25598299906428,2.23723262118214,2.31319706755173,0,2
70,1.15227974220379,0.0382261589478186,0.0333853864792549,0.0191329608677897,0.187103974409004,0.366520253736933,0.330075562711414,50,49.2,329,0.36,2.17968577989219,2.16439353099783,2.22600663937635,0,2
71,1.0287726250206,0.0189629734225259,0.0365082988130617,0.027187749493375,0.180521693314188,0.349128525406561,0.3781980490442,50,49.23,324,0.34,2.11802281335845,2.10124295450952,2.15950584420607,0,2
72,0.93209393260905,0.0141594689825694,0.0350311605783673,0.0154644400593147,0.188682638311106,0.367067435044091,0.312460898472467,50,49.26,318,0.32,2.03260689059208,2.01986962837642,2.06904369875084,0,2
73,1.08103969198433,0.019579868027703,0.0298801594061137,0.0117081260053704,0.185477041019598,0.353904073919333,0.282417552369004,50,49.29,311,0.3,1.952943231163,1.94021019303286,1.98293263153546,0,2
74,1.04358304104719,0.030544592206658,0.0514009664029717,0.0141989865007561,0.141727643838859,0.346449360942468,0.306730888785234,50,49.32,303,0.29,1.88129770406921,1.87180941735204,1.91032282480109,0,2
75,0.925294742878011,0.00841858612129921,0.0264236563476692,0.0162676904941769,0.136207580865598,0.347166438283831,0.290101264797606,50,49.35,294,0.27,1.78380153410155,1.77651539462536,1.8083150344298,0,2
76,1.04708498209962,0.00919745756267111,0.0384599415693605,0.0256460370827778,0.130125871596758,0.327247990021481,0.335161284616715,50,49.38,282,0.24,1.67837514651506,1.67760560076447,1.70063985432902,0,2
77,0.962532677223582,0.0102715456841721,0.0329612584262758,0.0223880547655023,0.131029950799206,0.306644026222311,0.332048062404107,50,49.41,267,0.21,1.56440133330218,1.56937350324079,1.58404425393737,0,2
78,0.756893239579336,0.0423135911671536,0.0506482624354075,0.0778992065363171,0.162160095513171,0.298017762745376,0.320002337060827,50,49.44,253,0.18,1.46140142280988,1.46741523920731,1.47745646077174,0,2
79,0.756516933909318,0.048084366948318,0.052190146749621,0.0576799188741307,0.15603540361245,0.253308537382075,0.286474569316255,50,49.47,231,0.15,1.31340867889846,1.3233053868953,1.32791099618273,0,2
80,0.764262844652387,0.00993510403696127,0.0223249466829127,0.0102877865375736,0.143887526208315,0.205367987322411,0.209500454231998,50,49.5,210,0.12,1.20352427830746,1.21828014656047,1.22023881891229,0,2
81,1.0076611278213,0.0164808688854239,0.0318402281326864,0.0148419793223481,0.189053694025875,0.408859377999709,0.473921937349702,52.5,51.44,365,0.5,2.76647554111077,2.74890105547752,2.83240784631987,0,2
82,1.02207758455408,0.028279278321001,0.0319211479918851,0.0200403047497946,0.18885016417895,0.429793477702835,0.369553737024257,52.5,51.46,361,0.5,2.72991135968183,2.71400889691842,2.79653380008388,0,2
83,1.17163759022397,0.115716846023122,0.0534220156911731,0.0665874389548233,0.152327476031892,0.3862177869379,0.377228458394628,52.5,51.48,360,0.48,2.68784149410052,2.66989567973747,2.75652441159085,0,2
84,1.13743875862486,0.0974779998066456,0.103883932566383,0.0565122330688862,0.202807920654009,0.40104808885258,0.460343359465101,52.5,51.5,358,0.47,2.64847988689787,2.632747813118,2.71822826147682,0,2
85,1.11716435687177,0.10948048190307,0.104575189902842,0.0628698032944525,0.13460917518982,0.405253555562811,0.374860554047028,52.5,51.52,356,0.46,2.61424063489771,2.59753603192196,2.68244911447315,0,2
86,0.910189309073337,0.0152373027674933,0.0330984046804652,0.0120144649634496,0.164288058652518,0.347304969991195,0.456134896688105,52.5,51.54,353,0.44,2.56338651908482,2.54422730376649,2.63333125468698,0,2
87,1.01242782340497,0.0215804484820508,0.035299929034189,0.0186899637880955,0.20691622394238,0.396110955836889,0.300993870507718,52.5,51.56,351,0.44,2.52506373580594,2.50181612458208,2.58842682694945,0,2
88,1.07021894119594,0.101394888347495,0.128697261768753,0.066417517642469,0.141536374859633,0.394819767796644,0.412376321247722,52.5,51.58,349,0.43,2.48818161193488,2.46310178723228,2.54876710428754,0,2
89,1.12446789524822,0.126904776199907,0.132498765435615,0.0759349003209422,0.209760234146307,0.396039451828401,0.424766118115066,52.5,51.6,347,0.42,2.45030421835633,2.42073420686569,2.50570322156938,0,2
90,1.0912815525842,0.0479955402227737,0.032820854765166,0.0174820437603027,0.15405861061744,0.395844366642653,0.285648396668269,52.5,51.62,345,0.41,2.40969396346889,2.38027764618239,2.46750068684356,0,2
91,1.0200683888708,0.0252413913888992,0.0319512451948046,0.0165092771046398,0.181409264231714,0.407763868564186,0.411676895585242,52.5,51.64,342,0.4,2.3674054168177,2.34024916693089,2.42498947281164,0,2
92,0.95559848821308,0.0154784976393361,0.0392531453479135,0.0114115823427798,0.180171281145535,0.404747137358717,0.422290656552322,52.5,51.66,339,0.39,2.32714031400402,2.30031073992785,2.38187011037645,0,2
93,1.08991507362246,0.0119773904381503,0.041955490360693,0.0112507898096074,0.189776988548575,0.397673413223317,0.383863909768578,52.5,51.7,332,0.37,2.21404025135125,2.19289515603277,2.26109585177894,0,2
94,1.02857493211551,0.0211586779937765,0.0441579613582521,0.0231498862330121,0.173389728536145,0.392074999986795,0.36149384462009,52.5,51.72,329,0.35,2.17558340146932,2.15453286469903,2.21704112760366,0,2
95,0.894328598572681,0.0129973574893117,0.0234620481109578,0.0176108254507481,0.183044791769468,0.371199037476965,0.410011412285113,52.5,51.74,326,0.34,2.12486912074478,2.10392088913736,2.16530268745055,0,2
96,0.848057243550244,0.0440836188940829,0.0576862291421883,0.0360640551330955,0.189375239791111,0.388113725803186,0.382852502964398,52.5,51.76,321,0.32,2.08001922627832,2.05900032839609,2.11439429395065,0,2
97,0.981807822964147,0.062953234604826,0.0709042048983682,0.0266321955322959,0.148313993436663,0.38790751292953,0.339510372332867,52.5,51.78,317,0.31,2.0236099896992,2.0044914688246,2.05409382647543,0,2
98,1.02905905474089,0.012897991064985,0.0266205172434715,0.0099587684132247,0.191327471239374,0.378262417725357,0.410416863034112,52.5,51.8,313,0.3,1.97145194773825,1.95497838738365,1.99987144772399,0,2
99,0.962400704618975,0.0127617186180869,0.0259563036509043,0.0109507421636005,0.189126625440142,0.372282110723368,0.346473984701063,52.5,51.82,306,0.29,1.89624252245458,1.87913628912022,1.92107050202065,0,2
100,0.848752242369311,0.00962552624707844,0.0320780923857925,0.0149149966955299,0.180208748303921,0.338801421216299,0.370341928496855,52.5,51.84,301,0.27,1.84432676374034,1.82838711876425,1.86616657546659,0,2
101,0.851400252316203,0.0441753039425679,0.0650347259864666,0.0164807063002146,0.18356944828812,0.376108831607636,0.307597175956346,52.5,51.86,294,0.26,1.77637883400518,1.76623519831774,1.79900273035444,0,2
102,0.888711855978658,0.00936604643630848,0.0252969553750385,0.0131641369387069,0.136946628096798,0.341853807796914,0.351424703828695,52.5,51.88,286,0.24,1.70674677565678,1.69959544679735,1.72928413020396,0,2
103,0.996456009669679,0.016321242844001,0.0251021842203563,0.0123042345864012,0.180716325199186,0.348404849302566,0.377468486006289,52.5,51.9,279,0.22,1.6454190798924,1.64117120709592,1.66282488741045,0,2
104,0.751191724544706,0.00812172837421686,0.0244236510253739,0.0146672796699774,0.169558140274281,0.326981284674981,0.303264783470923,52.5,51.94,259,0.19,1.50349725753165,1.50347998980423,1.51941308182302,0,2
105,0.680876534054719,0.00866821107948102,0.0303371639322156,0.0115337393600093,0.162317792590771,0.267966547250579,0.210619503702806,52.5,51.96,245,0.17,1.38904041831087,1.39286787298947,1.40307565459441,0,2
106,0.769030478232765,0.0128757965747536,0.0314994269727859,0.0153897583344657,0.11877966094994,0.261868963914149,0.28587602095372,52.5,51.98,232,0.15,1.30855714530247,1.31274095142952,1.32123941409186,0,2
107,0.73109804987974,0.01176262191614,0.0303506910607708,0.00893161347817706,0.144296846390666,0.241591954601127,0.272974141395897,52.5,52,221,0.13,1.18173588893776,1.18652062542001,1.19451527442634,0,2
108,1.0597529026824,0.0153947883015217,0.0347509225918075,0.0137025024701144,0.153877607800223,0.421277388126675,0.466694714466541,55,53.88,371,0.53,2.92903315680233,2.9125662069609,3.00181046154582,0,2
109,1.08024817861487,0.0242646455078096,0.0377727209352176,0.00989130147291858,0.209422634907384,0.416711959477708,0.411335562133322,55,53.9,369,0.53,2.89531938404211,2.87852220154216,2.9691898037518,0,2
110,1.00073591563471,0.0168496020305112,0.0309829787721501,0.0139018680851013,0.168681639299384,0.438024946732817,0.358163963401704,55,53.92,368,0.51,2.8627203110261,2.84644412241291,2.93381186497251,0,2
111,0.894811551582389,0.0147870344567314,0.0392368814103135,0.0111818501309692,0.198618076067843,0.463335975386186,0.472015262280215,55,53.94,366,0.5,2.82398781250785,2.80535466619,2.89574599456893,0,2
112,0.882946943960391,0.0189487883297499,0.0325963195755521,0.0184048028215628,0.204477420286361,0.449911630351215,0.440345029333697,55,53.96,364,0.49,2.7856556831691,2.76324347192415,2.85446721061041,0,2
113,1.00285801731627,0.0155662023446359,0.0314057711788757,0.0115126744055478,0.152242715428465,0.45389987394112,0.379906024396722,55,53.98,362,0.48,2.7470715887555,2.72479740058171,2.81704640387169,0,2
114,1.0462267605697,0.0310831549876663,0.082676465909807,0.0629799276598623,0.212800008367107,0.411582189309529,0.35627051381259,55,54,360,0.47,2.6989586634226,2.67716873809855,2.7674090768801,0,2
115,1.02320058284955,0.0318523211327232,0.0554380123680127,0.0443028448649539,0.175951252464075,0.460369642429451,0.440267502237104,55,54.02,358,0.46,2.65356455325359,2.63537213614836,2.72656835393585,0,2
116,0.839372594328792,0.0174948617864184,0.0440547971252884,0.0140397964266727,0.18517433905749,0.402290345573565,0.449970667634265,55,54.04,359,0.45,2.6212860802485,2.60119874204553,2.69414373055449,0,2
