idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,fx1_S,fx0d5_S,fx1d5_S,fx2d5_S,fx3_S,fx5_S,fx7_S,fx1_T,fx0d5_T,fx1d5_T,fx2d5_T,fx3_T,fx5_T,fx7_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,1.2874548926712,0.00289316572242582,0.000356203542158334,0.000365875052762901,0.0191336344534786,0.012585752126223,0.00453899940920669,1.28659199608258,0.00310412403596364,0.0012485945009551,0.000197023106555141,0.00456077669071039,0.0133103841565694,0.000785199722021372,1.29738735570077,0.00168211033847359,0.00122304489565541,0.00122765539107543,0.0197047945168499,0.0182924882180148,0.000828247284474651,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,1.7507229931297,0.00170344651279033,0.00213973284600678,0.000790638581870907,0.0239070410803973,0.0131828177229274,0.0049435589675023,1.77583191894476,0.00123166500988699,0.00160976352151109,0.000377664411580738,0.00626071827232534,0.0126873877747078,0.00311384038640572,1.82870878614844,0.00163517498841588,0.00139840853585612,0.000467433815861784,0.0230018483613287,0.0138693749038769,0.00191922183286973,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,1.96752348256453,0.00124658890774189,0.000815639953497931,0.000183616153300516,0.0181109603828246,0.011143034270075,0.00352013994386838,1.97069625845981,0.000392039826561932,0.000315886034153733,0.000333316907606839,0.0042767548250858,0.00913536322657875,0.00238035896814917,2.01569609609827,0.000802202075558948,0.000648658076316928,0.000591728802142276,0.018101525630491,0.0111508997238984,0.00244481576844099,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,1.94593121706102,0.000184167667851918,0.00146875967818648,6.18006815263482e-05,0.0193448250282642,0.0140266685761338,0.003137777587463,1.94924927073001,0.000468481344311842,0.00164701713112532,0.000506454458601906,0.00530039492602587,0.0119436624615106,0.00166621101769114,2.00082344094772,0.000587864101651874,0.00134700926342885,0.000467601380388864,0.0193378907617112,0.0129065004221022,0.00141569683391491,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,1.60479465964074,0.00183246326085233,0.00122780098192027,0.0005696527328938,0.0253923706488501,0.00415950344894724,0.00360591598960998,1.61679848224864,0.00220728032099942,0.00167954685008667,0.000571253506684993,0.00706717917059414,0.00625165502453862,0.00106299489174859,1.65278275766628,0.00216336191328901,0.000969204153179122,0.00085733944335939,0.0254645809018322,0.00738616675609392,0.00267423107012246,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,1.15519435433361,0.00255277985842204,0.00241584757863648,0.000760706738253801,0.0187384504252262,0.00724568581773838,0.00233570790094985,1.16757623727591,0.00257501338383287,0.00190975496834074,0.000822250492241494,0.00559057626813422,0.00813465824980557,0.000792396954858717,1.19660904891947,0.00476060306852069,0.00224058368413578,0.00107140419043201,0.0175754238477869,0.0124709605357505,0.00250675522007617,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,1.68977541841992,0.00100108492626966,0.00101570228547777,0.000929408144984722,0.0225786246723459,0.00980263184234213,0.00415771319283796,1.69546073086757,0.00153560199082579,0.000779294637752343,0.000241774561471629,0.00680097125789598,0.0085613283771049,0.00275608853743196,1.72343232522982,0.000933545851292328,0.00171215880956874,0.000620224860568637,0.0232134358471226,0.0102598292555232,0.00252658770156692,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,1.81148088691295,0.000627893284505683,0.000720755728143589,0.000241795326583749,0.0175595329969256,0.00638241677473734,0.00288725928642294,1.81960809041061,0.00106414121786654,0.00112425343353045,2.00261118277926e-05,0.0056294303199889,0.00682358002353468,0.00230409815096131,1.86776702708999,0.00117653682297395,0.000574378164187108,0.000423881380908148,0.0177217809887273,0.00948325259397685,0.00141080636364642,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,1.56029493924707,0.00157740859981054,0.00083451350985697,0.000731508337477364,0.0232203044569016,0.0132250601330743,0.00323013853094749,1.58172623693853,0.00218117080621904,0.000951625403812599,0.000364432368691643,0.00747169763317152,0.00864384187134161,0.00261006475093237,1.63128988311713,0.00124021171519154,0.000844847073288167,0.00054591764217259,0.0225052455964421,0.0109567322936093,0.00315595739902167,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,1.19162505937373,0.00282334432651763,0.00280526127085727,0.00105111017337001,0.0215253958949734,0.0116888290370602,0.00470142693475621,1.19594659182718,0.00291682616987935,0.0027984034586053,0.000509063016226203,0.0071915220667126,0.0109412054809751,0.000222411437345483,1.21886545224072,0.00197220126388037,0.00326897959237927,0.00129739616387546,0.0207073752023554,0.0181882196687415,0.00422130726630662,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,1.55071588801249,0.00154099294430227,0.00178291806842604,0.00057943532921025,0.0213693962007573,0.0047001409030625,0.00362989972320566,1.56115950068549,0.0024148531036338,0.00121479884460731,0.000348350306861446,0.0067749421027542,0.00583880890903925,0.00208266515797148,1.62363479445849,0.00111599212974375,0.00188787368344833,0.000341531971848567,0.0198568737803294,0.00967082455560113,0.00368414552614972,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,1.71694294634849,0.000473680900241085,0.000452547126033851,0.000302606971058759,0.0192286102181958,0.00878625836311225,0.00168855009421309,1.71865821726908,0.000255452350275794,0.000236800471254276,0.000182266108757418,0.00688905837821411,0.00614983900530022,0.0010432395732197,1.76793611417826,0.000838965481274701,0.000654651360679757,0.00032155723194168,0.0183950415673742,0.00759512558302877,0.0022723567994975,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
13,1.65818260786472,0.000765800887984618,0.0010644198485822,0.000251942374079427,0.0164548289597203,0.00741237186142021,0.00295877004201508,1.65345061258517,0.00129525189758781,0.000906668265059267,5.91053694612519e-05,0.0057793580684785,0.00773698663105893,0.0012193064224185,1.70128110415172,0.000958454918622461,0.000832262363469734,0.000201069067817396,0.0158590541961056,0.0118867586785331,0.00450307767047907,45,44.11,345,0.42,2.41549848127315,2.41707457107655,2.49952833721724,0,1
