,0,1,2,3,4,5,6
0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,49.75,17.73,4.43,27.09,0.99,0.0
2,0.0,28.49,35.75,21.79,12.85,1.12,0.0
3,0.0,5.46,24.59,68.31,1.09,0.55,0.0
4,0.0,55.93,20.9,3.95,19.21,0.0,0.0
5,0.0,0.0,1.92,4.33,0.96,92.79,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
