,0,1,2,3,4,5,6
0,91.13,7.26,0.4,0.0,1.21,0.0,0.0
1,74.88,15.76,0.99,1.48,6.9,0.0,0.0
2,10.61,4.47,69.83,15.08,0.0,0.0,0.0
3,0.55,0.0,1.09,98.36,0.0,0.0,0.0
4,70.06,15.82,0.56,0.0,13.56,0.0,0.0
5,0.48,0.0,0.0,0.0,0.0,99.52,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
