idx,scm_COR_X,scm_IDM_X,scm_ENT_X,scm_CSD_X,scm_CSR_X,scm_DKL_X,scm_MDR_X,scm_CAD_X,scm_COR_Y,scm_IDM_Y,scm_ENT_Y,scm_CSD_Y,scm_CSR_Y,scm_DKL_Y,scm_MDR_Y,scm_CAD_Y,scm_COR_Z,scm_IDM_Z,scm_ENT_Z,scm_CSD_Z,scm_CSR_Z,scm_DKL_Z,scm_MDR_Z,scm_CAD_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.449826607087648,0.764666299626843,2.02436220500005,0.224000147686656,0.788907792820109,0,1,1,-0.0865607414410928,0.618352708384863,2.14365719214785,0.514035034738075,0.837516823894928,0,1,1,-0.107415095777409,0.625195373554236,2.15532311176859,0.494869709145569,0.848269212605791,0,1,1,45,43.75,374,0.6,3.07604412624126,3.06185372143614,3.11025790917569,0,5
2,0.451508070335848,0.774197544245389,1.9781999428747,0.210459894459801,0.78900838744191,0,1,1,-0.0893081467356216,0.614809532006984,2.10498368690782,0.525099096622032,0.770074754287926,0,1,1,-0.103776707315566,0.623503591380686,2.11997531854448,0.500601945475556,0.93240703963134,0,1,1,45,43.78,372,0.6,3.03299704640253,3.01591966843663,3.06734367378317,0,5
3,0.473052511788884,0.793865011193496,1.91676888229311,0.191010575641499,0.743132785686405,0,1,1,-0.0673556556737289,0.64224425833633,2.12358601612231,0.46156580429314,0.751614980832499,0,1,1,-0.0838223500294668,0.6532446662573,2.16885865515214,0.427420326873428,0.917735417338723,0,1,1,45,43.81,370,0.58,2.97905556290464,2.95997271232726,3.01766751779053,0,5
4,0.446585611562328,0.785299198994817,1.90266534931101,0.205113128323034,0.76278001148566,0,1,1,-0.096338920558439,0.629833975763988,2.17244808277767,0.484343139497029,0.947459198104734,0,1,1,-0.109906941775924,0.629746715870877,2.20593348575263,0.478555147651333,0.90242448631795,0,1,1,45,43.84,368,0.57,2.94596374956647,2.91748275601117,2.97911899115269,0,5
5,0.45980167344035,0.792016473942658,1.91605058609436,0.192252661716877,0.78139529188425,0,1,1,-0.0822373349677409,0.628748915408121,2.10151948788508,0.493808374531477,0.864418138679864,0,1,1,-0.0980453281641012,0.639656120869421,2.13846550547705,0.465069798168603,0.915876958500339,0,1,1,45,43.87,363,0.53,2.79672769101047,2.78212361619009,2.84375886764388,0,5
6,0.467576560126496,0.794483109289097,1.90771521805469,0.187055341756921,0.787821313214192,0,1,1,-0.0777641166800727,0.638390235182963,2.13817775933523,0.470163951712065,0.91452738642289,0,1,1,-0.0829223539786832,0.654330358311304,2.14284823419413,0.429212461512762,0.937712112847354,0,1,1,45,43.9,360,0.52,2.74543667369112,2.73304738711458,2.79739672444549,0,5
7,0.445341741978342,0.77339520494973,1.98493624886219,0.209722916686888,0.817129224294495,0,1,1,-0.102904081166335,0.607378433206594,2.08438490778232,0.545714192858952,0.867473863558437,0,1,1,-0.119693197876101,0.618559251790729,2.10869928065863,0.516528320929076,0.809939124779578,0,1,1,45,43.93,358,0.5,2.69294982567367,2.67787157270718,2.74482460999449,0,5
8,0.470326007892484,0.794760935910478,1.92158780802107,0.182864987007316,0.819822988605139,0,1,1,-0.0902322154942693,0.626872782437532,2.12322604811496,0.496039325790053,0.879529980783514,0,1,1,-0.104521553372196,0.638830684315429,2.15105024149067,0.462421306850598,0.894524098549087,0,1,1,45,43.96,356,0.49,2.64527527846187,2.62911470317611,2.69656697958182,0,5
9,0.460995728890744,0.789565107538768,1.92062043892888,0.191566898787743,0.804108182916129,0,1,1,-0.107023735068862,0.621875077734385,2.13672985988988,0.506238993419663,0.86350368203506,0,1,1,-0.137049730300442,0.627140115644637,2.15302012682564,0.489846693557745,0.912371262244946,0,1,1,45,43.99,353,0.48,2.58545750015364,2.5766146734093,2.63842442979131,0,5
10,0.45999592616547,0.791276962762506,1.9081326430576,0.190893880381782,0.794533074533779,0,1,1,-0.0725221183108293,0.639836201932305,2.07742920939034,0.474897680739024,0.909113021532977,0,1,1,-0.0860266860241304,0.652009493258222,2.09758959744222,0.438886402473578,0.938540211767989,0,1,1,45,44.02,350,0.46,2.52478846088151,2.51087169328871,2.58195072290202,0,5
11,0.466975420966031,0.799015612765073,1.87223976918586,0.187452071568272,0.779255636733593,0,1,1,-0.0787299544663036,0.641848523748395,2.07855166027808,0.467905382272369,0.900567243764019,0,1,1,-0.0941311694099066,0.652715951072412,2.10237827201673,0.438215052596868,0.886829349056719,0,1,1,45,44.05,346,0.44,2.47375835125352,2.45838440330855,2.5330810249206,0,5
12,0.47322807438793,0.799398852063248,1.89273620542793,0.179212564710224,0.823414824721058,0,1,1,-0.0998663682833347,0.634912572538762,2.09419431010254,0.483915811866947,0.866419303733347,0,1,1,-0.125129424592618,0.645386134524286,2.12688336154383,0.451086564358581,0.927252906814205,0,1,1,45,44.08,343,0.42,2.40710668441506,2.38959334131915,2.46306892788521,0,5
13,0.457433098176222,0.794091955848487,1.88310282880058,0.185231771230865,0.827361642759394,0,1,1,-0.0672466006991256,0.651279112176314,2.01489126348536,0.454060759218743,0.880782618579673,0,1,1,-0.0690482018403351,0.667556742323097,2.037379752091,0.411614607955563,0.928617392243835,0,1,1,45,44.11,339,0.41,2.34417887770279,2.32798619058321,2.39666331002344,0,5
14,0.451424148622425,0.801436173623133,1.81292916675667,0.182719294088939,0.820105061290243,0,1,1,-0.100258171043283,0.627439169772491,2.00689754163499,0.5110042122994,0.878174871372385,0,1,1,-0.103248126848484,0.64070528838145,2.03926454461261,0.473682046251963,0.922118424075054,0,1,1,45,44.14,334,0.39,2.271001197383,2.25839646578834,2.31838107310806,0,5
