idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.356427056532656,7.98706466447232,16.9885338695571,4.12211933709159,47.5,46.36,318,0.39,2.74536767924653,2.11694255560945,2.07176538875591,0,7
2,0.24055226358402,7.96610558864017,16.4394395214598,4.05569824423635,47.5,46.38,316,0.38,2.6903566319049,2.07538017514773,2.02835822694505,0,7
3,0.459341019365666,8.01692061074649,16.5920118690635,4.07364571869562,47.5,46.4,313,0.36,2.65219820574761,2.04776902919605,1.99543310709588,0,7
4,0.432928512452256,8.20148338478027,16.3310087956476,4.04155977058829,47.5,46.42,310,0.36,2.60987170243395,2.01797208161006,1.95620134758078,0,7
5,0.383172934212078,8.33510900976849,16.0837653951927,4.01416211893906,47.5,46.44,306,0.35,2.54863291744959,1.97464209727062,1.90419070167438,0,7
6,0.480931194500047,8.33859615089049,16.1620352884615,4.02018474092468,47.5,46.46,304,0.33,2.51281305779335,1.95045572894529,1.87994964687365,0,7
7,0.22784788252039,8.11688159326316,15.3115808322102,3.91301139560156,47.5,46.48,299,0.32,2.44230540945606,1.90265384951948,1.81887100949148,0,7
8,0.25443855913868,8.24227598381049,14.9395529857688,3.86552153512515,47.5,46.5,290,0.29,2.34236072033216,1.83141234879263,1.74200336202557,0,7
9,0.334801998564008,8.28931052696973,14.5694780933274,3.82284286861593,47.5,46.52,284,0.28,2.24954795790358,1.76361915408979,1.66839284697705,0,7
10,0.147179836197632,8.18882381286166,14.1953945748402,3.76821070852799,47.5,46.54,279,0.27,2.19665906570542,1.72871104495981,1.62569799733795,0,7
11,0.193365369582897,8.46123151794276,13.3311633685852,3.6544343593802,47.5,46.56,267,0.25,2.07508454788533,1.64231349688007,1.53495316089594,0,7
12,0.289562979047495,8.35238102537352,13.0209678429711,3.60923298321516,47.5,46.58,262,0.23,2.01837713071555,1.60010087658211,1.49403479261089,0,7
13,0.183224430677,8.67270507960657,12.3333742072265,3.51286381222296,47.5,46.6,255,0.22,1.94410466144737,1.55006236944891,1.43606449810995,0,7
14,0.146270280276795,8.80728690999195,10.5711775541048,3.25159932649601,47.5,46.62,231,0.18,1.7407758512243,1.39464752305224,1.28560351758664,0,7
15,0.0551541563339963,8.93374165152159,10.0254769162904,3.1666235094483,47.5,46.64,225,0.17,1.68500492570064,1.35490152738565,1.24387646733509,0,7
16,0.303908809017225,9.00890649395152,9.50615822118137,3.08540382758018,47.5,46.66,210,0.15,1.60734129890533,1.29895754434689,1.19126557137335,0,7
17,0.449952479059292,7.99187934247252,17.4360369052654,4.17660750537157,50,48.81,324,0.41,2.86078561334096,2.19114979235371,2.14429121374353,0,7
18,0.26265103648258,7.94636861493783,16.902539898272,4.11123106777684,50,48.83,322,0.4,2.82472776071762,2.16600217945024,2.1118547012779,0,7
19,0.496421174957299,8.06151186028312,17.23890662012,4.15252701496154,50,48.85,320,0.4,2.78517150884315,2.13809311216008,2.07977088555389,0,7
20,0.282493637103526,7.97203904200429,16.6747670911996,4.08416691486277,50,48.87,315,0.39,2.72135301278039,2.0916379720224,2.02787518135155,0,7
21,0.299585811877183,8.0679798630417,16.6311291181176,4.07920211587687,50,48.89,313,0.37,2.67053660759788,2.05553149057591,1.98283180919889,0,7
22,0.363573200993939,8.10267181120221,16.4804986493727,4.06299094853597,50,48.91,310,0.35,2.61858924310456,2.02262964981273,1.94070559927974,0,7
23,0.360372423398511,8.10696133630383,16.2910029693581,4.0413358630191,50,48.93,307,0.34,2.56964163720652,1.98715077397166,1.90016870873456,0,7
24,0.358514866413504,8.13623227763885,15.9263744325583,3.99168539969011,50,48.95,303,0.34,2.51533049411622,1.94835124493199,1.85317227150842,0,7
25,0.283624545194947,8.39375875478211,15.4863972000095,3.93904931694178,50,48.97,301,0.33,2.44350861259714,1.89839956251654,1.79683037985287,0,7
26,0.41912649503121,8.21973076184829,15.6538679781746,3.95692706003408,50,48.99,299,0.33,2.42509814135004,1.89010265096437,1.7805574463876,0,7
27,0.136347195088964,8.09556575086082,14.9418546621548,3.86568894744998,50,49.01,294,0.31,2.33717960602509,1.82928566177601,1.70825388101274,0,7
28,0.439333513063278,8.27282208241071,15.2750264076853,3.90879658857218,50,49.03,289,0.3,2.32368497514667,1.82137152628317,1.69933472556975,0,7
29,0.496807177878263,8.373107186416,14.6496724923993,3.82749782007319,50,49.05,283,0.29,2.24039359399609,1.76532294646539,1.63481286750498,0,7
30,0.288395499810877,8.47117909447339,14.2221676670458,3.77610084114533,50,49.07,273,0.27,2.18050260578488,1.72562908773668,1.59045514870277,0,7
31,0.0964555444964099,8.48481854672776,13.2020054472218,3.63445645404414,50,49.09,269,0.26,2.08413672946361,1.65547419468251,1.5201529379247,0,7
32,0.329366169696822,8.59635166943933,13.0248395489666,3.60934281502598,50,49.11,262,0.24,2.01440045008185,1.60768609244959,1.46853651975913,0,7
33,0.22939842133335,8.55909493064818,12.0171220901226,3.46913289578819,50,49.13,249,0.22,1.89902768252897,1.52123390819138,1.38291556810872,0,7
34,0.117685697175012,8.64024445283579,11.4147415503754,3.37854001455094,50,49.15,248,0.21,1.81909909756808,1.46680959983766,1.32480838425523,0,7
35,0.257613733715027,8.9320792441153,10.9881366673667,3.31483586056153,50,49.17,241,0.2,1.76381007830969,1.42448198626379,1.28374435590243,0,7
36,-0.053717454843553,8.72505096075522,10.2875698502634,3.20868401771016,50,49.19,225,0.17,1.6826313828401,1.36557837837871,1.22549816388706,0,7
37,-0.0690623477866355,8.88706673118146,9.60022283166807,3.09947334367014,50,49.21,218,0.18,1.60012525194196,1.30421116169136,1.17411968452673,0,7
38,0.358906989308344,7.77903072916221,18.2063421070032,4.2673775509977,52.5,51.29,332,0.45,3.02741446378371,2.32171112800933,2.25779016484669,0,7
39,0.228843882028446,7.87918114375547,17.5721013274831,4.19343412157472,52.5,51.31,329,0.44,2.97668928431216,2.28526626927745,2.21524347680906,0,7
40,0.518167967741645,7.90121083940014,17.7612502186038,4.21511943762934,52.5,51.33,326,0.42,2.90610459797128,2.23496799066861,2.15857149458091,0,7
41,0.480560290577794,8.0339349074443,17.6829576511834,4.20990227734954,52.5,51.35,326,0.42,2.86067147339834,2.19864060209715,2.11778900886367,0,7
42,0.345817177417618,7.99908695913914,17.4673765019918,4.18360670329588,52.5,51.37,321,0.41,2.81640130329801,2.16563071000527,2.08144284162844,0,7
43,0.516252772348891,8.04484151791731,17.4225344056958,4.17447871337131,52.5,51.39,319,0.39,2.76331817362222,2.13043554085016,2.04074120213967,0,7
44,0.262199084836997,7.92775302168083,16.8578920148183,4.10589431143156,52.5,51.41,316,0.38,2.71925303286516,2.09855151203458,2.00299796889946,0,7
45,0.384619050302808,8.01125819419942,16.7384955464612,4.09170600536309,52.5,51.43,314,0.37,2.67923256944828,2.07085247256533,1.96671692490054,0,7
46,0.627371847375351,8.14228384744178,16.9398500614493,4.1160396303101,52.5,51.45,311,0.37,2.6315922091768,2.03876939457702,1.92589422830667,0,7
47,0.393494290854566,8.00552137647722,16.1896148288895,4.02415356308693,52.5,51.47,303,0.34,2.52252192455153,1.96128971185108,1.84172224694039,0,7
48,0.322785272257838,8.18185206632962,15.9271474079133,3.99419358357823,52.5,51.49,300,0.33,2.47047380769811,1.92918165200025,1.79608691115457,0,7
49,0.350941798031178,8.18580209040676,15.6209518071057,3.95244022903332,52.5,51.51,296,0.33,2.41998073074248,1.89335725215644,1.76066985102995,0,7
50,0.353687205549205,8.23383994037237,15.1774146967147,3.89672965382544,52.5,51.53,292,0.31,2.36505769983773,1.85611627099662,1.71560669854508,0,7
51,0.269312751366533,8.22999501849063,14.8667811729154,3.8585038355204,52.5,51.55,285,0.29,2.26860007428908,1.79236960229639,1.64430931637667,0,7
52,0.491691584102643,8.33172859508682,14.6087504156389,3.82291695973908,52.5,51.57,280,0.28,2.21398645169694,1.75605448158822,1.60566681254292,0,7
53,-0.0784362514087081,8.20751207535921,13.6271940875718,3.69146762507231,52.5,51.59,271,0.26,2.11211451251808,1.68230416076985,1.52955410018579,0,7
54,0.244592416479718,8.56584208107228,13.0839280624602,3.62049331078331,52.5,51.61,264,0.24,2.03356201143891,1.62960579365127,1.47075531703514,0,7
55,0.447823548706369,9.14077289854407,10.849134849984,3.29548582732414,52.5,51.65,240,0.2,1.81290772215241,1.46419545027,1.30880347670201,0,7
56,-0.073480515363067,8.85738243371952,10.732171009878,3.27641576731277,52.5,51.67,233,0.18,1.75570688242605,1.42320933953317,1.26191512524726,0,7
57,0.241080440751908,9.19507818266756,10.1162709501118,3.18058713387668,52.5,51.69,223,0.17,1.68252516339772,1.37275733698072,1.20818615403152,0,7
58,0.197346663900492,8.96165286349645,9.56098373898773,3.0951367688839,52.5,51.71,214,0.15,1.59854484298192,1.31234860827363,1.15361575888898,0,7
59,0.599278840782315,8.11321843691185,17.6398507858187,4.2003698877093,55,53.82,333,0.45,3.01967566254998,2.3110847655998,2.24118034596421,0,7
60,0.418564436021935,8.43582561776696,16.2175340075742,4.03171196714968,55,53.84,330,0.44,2.9879974083318,2.28714708507438,2.21354162673467,0,7
61,0.513667771069755,7.93894660128072,17.4901743645734,4.18358140506057,55,53.86,327,0.43,2.91994989425474,2.23883701148329,2.15831530605246,0,7
62,0.482144033401598,8.06131157919389,17.2694300164531,4.15637778352961,55,53.88,325,0.41,2.87069935589294,2.20303434042091,2.11815204988618,0,7
63,0.472359032103776,8.05255271537526,17.0572171725577,4.13004076696035,55,53.9,322,0.41,2.82108821032158,2.16971078182668,2.07665387143091,0,7
64,0.337530478793774,8.42573807895815,16.090387093212,4.01539005177436,55,53.92,319,0.4,2.76332692949857,2.1259720801955,2.02857105218144,0,7
65,0.365884765600421,8.02987429894603,16.5322856300562,4.06604665146848,55,53.94,316,0.39,2.7241277666699,2.10205814417435,1.99601958234128,0,7
66,0.391606086242471,8.16639365380237,16.3186167520716,4.03981396307829,55,53.96,314,0.37,2.676835694979,2.0704927170704,1.95604022394217,0,7
67,0.344765450213338,8.07868200672228,16.1729820680379,4.02192912305271,55,53.98,311,0.37,2.6157622114456,2.03141819484289,1.90727540073066,0,7
68,0.52659467246229,8.31052204039515,15.9577263301679,3.99730107339273,55,54,305,0.35,2.54786254314153,1.9843903398452,1.85051482026908,0,7
69,0.319649038947823,8.07613897372297,15.9917990991653,3.99976886179356,55,54,305,0.35,2.5454218285183,1.98419033232173,1.84817633080413,0,7
70,0.320558908268133,8.22888557107706,15.4511213549413,3.93131416143871,55,54.04,300,0.33,2.45651921955525,1.92453075492345,1.78014011249653,0,7
71,0.289713721404563,8.05222790570451,15.6971769947369,3.96236022699951,55,54.06,298,0.33,2.42750938627986,1.90557623042483,1.75241647869201,0,7
72,0.20787246830498,8.38041171249108,13.0993987681182,3.61934512990731,55,54.08,290,0.25,2.04825857837089,1.62315126008796,1.47375185886415,0,7
73,0.184550643237754,8.51160853460134,12.7700255627118,3.5735271139492,55,54.1,285,0.24,1.98250178980895,1.58075299821408,1.42601985441093,0,7
74,0.174158195812802,8.85148150378279,11.8495194188369,3.44459410943992,55,54.12,281,0.21,1.91792464756893,1.53621943898748,1.37863297354211,0,7
75,0.363041319483677,8.75005780537492,11.7333161337663,3.42536623944405,55,54.14,273,0.2,1.84624606581746,1.48758854834859,1.3267696555684,0,7
76,0.0719241820271762,8.78571303616211,11.1667338896553,3.34164242601988,55,54.16,266,0.19,1.77928000903627,1.43944808616297,1.27880884276441,0,7
77,0.185236979799455,9.14950516425057,10.3087730165152,3.2107857553624,55,54.18,258,0.18,1.70802865984516,1.38653472690214,1.22867889201733,0,7
78,0.244874802413022,9.08477332293815,10.1865207281576,3.19447780930433,55,54.2,255,0.17,1.67798559208738,1.36974047525587,1.20951933356507,0,7
79,0.197315882672607,9.10949383989663,9.67868637317293,3.11104125957139,55,54.22,246,0.16,1.59593644413254,1.30885991157209,1.15432806018078,0,7
80,0.526360184862089,8.43172067046646,17.0309837443168,4.12690272052979,57.5,56.3,337,0.46,3.14073623624861,2.40131498786564,2.31350766980813,0,7
81,0.348390518381122,8.04278213093912,17.2428854204511,4.15337686958537,57.5,56.32,335,0.46,3.09401151456039,2.36596512115249,2.27489849612754,0,7
82,0.580102082111897,8.24721047565361,17.3482533958769,4.16583939521558,57.5,56.34,333,0.45,3.03750593561469,2.32711412020071,2.22818094743968,0,7
83,0.398789115567886,8.19985879740716,17.0106252097774,4.12693841760332,57.5,56.36,330,0.44,2.98674135719442,2.2886544916905,2.18506723332937,0,7
84,0.439551967278523,8.32970204398648,16.9987559352465,4.12515472017067,57.5,56.38,327,0.42,2.93547721262357,2.2500814685628,2.14377623182185,0,7
85,0.270192118624827,8.14721107040027,16.4062546987225,4.05042786269098,57.5,56.4,326,0.42,2.89494502752005,2.22126063905705,2.10735239911064,0,7
86,0.550449825562828,8.23441078692882,16.5795167879539,4.071830958952,57.5,56.42,323,0.41,2.85350121371933,2.19222543013334,2.07303899289556,0,7
87,0.501842642755477,8.38564586578168,16.4159548622218,4.05163585032252,57.5,56.44,323,0.41,2.79391413782504,2.15072451414813,2.02400876170995,0,7
88,0.287995876891265,8.28620499538486,16.0803615535422,4.01080664973359,57.5,56.46,317,0.38,2.75345335802583,2.12229602705846,1.99058632721603,0,7
89,0.416025263267383,8.59290775419118,15.5300089516675,3.94179403718255,57.5,56.48,314,0.37,2.6879514874593,2.07556608424501,1.93618053737522,0,7
