,0,1,2,3,4,5,6
0,81.45,5.24,3.63,1.61,6.45,1.21,0.4
1,16.26,65.02,5.42,3.45,4.93,4.93,0.0
2,14.53,9.5,58.66,6.15,3.35,6.7,1.12
3,4.92,7.1,8.2,68.31,2.19,8.2,1.09
4,20.34,14.12,10.73,6.21,45.76,1.69,1.13
5,9.62,8.17,10.58,6.73,2.4,60.58,1.92
6,0.63,2.53,0.0,1.27,0.0,1.9,93.67
