idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.475307375972144,0.737300007373,2.43627934748516,0.255098692911441,0.832963388624262,0,1,1,45,43.69,375,0.61,3.06010229129951,3.06875596976925,3.11962499613889,0,2
2,0.479116531208418,0.734570349802401,2.4865273208133,0.257518515151029,0.79285615949903,0,1,1,45,43.72,373,0.6,3.01260276218669,3.01980150265802,3.0734346124125,0,2
3,0.48712920807929,0.754261577915221,2.36014049936903,0.23719707945922,0.854118665110381,0,1,1,45,43.75,371,0.59,2.97491165384897,2.98117116125416,3.03764478185331,0,2
4,0.486914131993707,0.754181938850929,2.35483679770251,0.240851195529452,0.855387617884252,0,1,1,45,43.78,369,0.58,2.92797939947505,2.93654633317086,2.99223375721583,0,2
5,0.480062709751286,0.75091987684914,2.37997788271866,0.240516501636098,0.851967054648822,0,1,1,45,43.81,369,0.56,2.88087170435847,2.89043148056985,2.9467914147733,0,2
6,0.487625087343283,0.763370433136383,2.30314483658889,0.230966776487409,0.847040738385087,0,1,1,45,43.84,365,0.55,2.84021628927595,2.84738616894099,2.90768741184272,0,2
7,0.477013222676849,0.755675120152345,2.3290535447286,0.236639657388293,0.868187223838973,0,1,1,45,43.87,363,0.53,2.78583018660894,2.79250852267955,2.85373925200272,0,2
8,0.476504291111032,0.75037894136539,2.37255883764532,0.240617655165616,0.852363637282244,0,1,1,45,43.9,361,0.52,2.72704248514748,2.73417908790362,2.79488946959702,0,2
9,0.486921982829157,0.764596140318683,2.29070858049309,0.229737475957751,0.845274889770786,0,1,1,45,43.93,360,0.51,2.66955527269132,2.6776270562983,2.73766081788863,0,2
10,0.486840829524495,0.758575698268931,2.31804545368408,0.234653004624675,0.875105468305284,0,1,1,45,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
11,0.484895426962441,0.763941940412528,2.28805483270254,0.227860400870277,0.854760333904256,0,1,1,45,43.99,353,0.47,2.56453426281941,2.57287788950592,2.63688393150842,0,2
12,0.479569320612436,0.760514107536695,2.29149940194953,0.232551681957958,0.882257726275839,0,1,1,45,44.02,349,0.46,2.50098929180317,2.50287900171915,2.57511428804181,0,2
13,0.486413484423544,0.761591421434229,2.29603276186953,0.227918839402053,0.883363293570765,0,1,1,45,44.05,346,0.45,2.45508373610053,2.45559472269113,2.52840054525723,0,2
14,0.475781615574506,0.7626485258004,2.30177213308159,0.228259776064933,0.867099389756198,0,1,1,45,44.08,342,0.43,2.38760976217588,2.38457450324621,2.45849402021576,0,2
15,0.471763669366026,0.742059958444642,2.40670656534462,0.244605097599594,0.845155434054023,0,1,1,45,44.11,338,0.4,2.32020364102225,2.31571059974247,2.38538997537803,0,2
