idx,Skewness_X,Kurtosis_X,Variance_X,RMS_X,Skewness_Y,Kurtosis_Y,Variance_Y,RMS_Y,Skewness_Z,Kurtosis_Z,Variance_Z,RMS_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,-0.399493119361185,17.3526855680759,2.88419885338899,2.18880681958407,-0.25522933321791,17.4167971463382,2.85632776795681,2.14361983446368,-0.448976820051742,17.9338174820876,2.86119641915998,2.15844226000769,47.5,46.36,318,0.39,2.74536767924653,2.11694255560945,2.07176538875591,0,7
2,-0.285186903038791,17.7336803390727,2.74969801208281,2.12938389333657,-0.522934253684367,17.7035445626353,2.79170414439132,2.1763421844273,-0.371412902317541,17.4102521287785,2.811235722579,2.17026041961503,47.5,46.38,316,0.38,2.6903566319049,2.07538017514773,2.02835822694505,0,7
3,-0.104263933170074,17.4166286251646,2.77535963368053,2.13772640452015,-0.1989467675548,17.2063442564027,2.78597014800212,2.16319462035102,-0.00442784284181753,17.7367666660141,2.77582363288484,2.13357256140189,47.5,46.4,313,0.36,2.65219820574761,2.04776902919605,1.99543310709588,0,7
4,-0.22425078167353,17.3849306980082,2.77939813301249,2.13426785151878,-0.194503244228543,17.5303738738763,2.67591237859984,2.14988595574482,-0.229036925826171,17.8135956192937,2.76520507146513,2.15899418318553,47.5,46.42,310,0.36,2.60987170243395,2.01797208161006,1.95620134758078,0,7
5,-0.150678799712414,17.6624202920922,2.59304163063885,2.16305863715701,-0.250619455232925,17.5862555799138,2.67581339875863,2.14253034571257,0.0340382779203149,17.4928351495495,2.61237776553489,2.13863824800266,47.5,46.44,306,0.35,2.54863291744959,1.97464209727062,1.90419070167438,0,7
6,-0.236007543817532,16.8766172201981,2.71307594812042,2.16370932899954,-0.0449725899577173,17.3635803588682,2.65211027646272,2.12713329151628,-0.156962922069921,17.6361662883468,2.6732280282507,2.14600435515101,47.5,46.46,304,0.33,2.51281305779335,1.95045572894529,1.87994964687365,0,7
7,-0.0960214634113611,18.0452564518354,2.53708291899765,2.07608863058296,-0.335549838646565,17.3753197169312,2.5504096855835,2.11535357888169,-0.419029133661269,18.2652082889146,2.58389712629283,2.09610500701504,47.5,46.48,299,0.32,2.44230540945606,1.90265384951948,1.81887100949148,0,7
8,-0.21531813144555,17.1657188691329,2.56523249791772,2.1645591358613,-0.278562812636818,17.8631827095367,2.58093489877941,2.13706564753764,-0.089797418764624,17.661872065113,2.49446924144533,2.15071586520801,47.5,46.5,290,0.29,2.34236072033216,1.83141234879263,1.74200336202557,0,7
9,-0.316004355713123,17.8996038270296,2.43207764388255,2.09917577206786,0.0279245907855117,17.6789880850274,2.38180743949824,2.13219489920717,0.0679944632402567,16.8538636070001,2.40778583188427,2.10542592522077,47.5,46.52,284,0.28,2.24954795790358,1.76361915408979,1.66839284697705,0,7
10,-0.314142204087175,17.3924015974586,2.42993378215781,2.09450759879311,-0.174046029229272,17.9447604255528,2.22929492570573,2.01028204576179,-0.438697831614339,17.6613702304065,2.37673392523629,2.06984906121987,47.5,46.54,279,0.27,2.19665906570542,1.72871104495981,1.62569799733795,0,7
11,-0.150706692470808,17.1084268211254,2.22586154410517,2.03440297959998,-0.276676842681895,17.6933034852011,2.20390853249152,1.99204902694632,-0.214298015266105,17.6386634343109,2.17481294025209,1.99283787272579,47.5,46.56,267,0.25,2.07508454788533,1.64231349688007,1.53495316089594,0,7
12,0.0466206347145817,17.1917426373913,2.08668872734455,2.00123704710995,0.0321991408246348,17.3231529012486,2.08522409904108,1.95643566553278,0.0554387938146779,17.559895145711,2.11674374566169,1.98965852861819,47.5,46.58,262,0.23,2.01837713071555,1.60010087658211,1.49403479261089,0,7
13,0.00405010216894832,17.3921633678517,1.98795524615355,2.00937010354188,-0.204543946062338,17.2389012687384,2.0491851801811,2.02466054800618,-0.14451108689184,17.2560778817385,2.02038192615834,2.04718547660681,47.5,46.6,255,0.22,1.94410466144737,1.55006236944891,1.43606449810995,0,7
14,0.192591781332256,17.0833285432107,1.70755143178775,1.90995635270571,-0.214539772827545,16.6791032677648,1.7181609376791,1.85592401941434,-0.270548712516901,17.0066351696083,1.7181518476596,1.89089256574608,47.5,46.62,231,0.18,1.7407758512243,1.39464752305224,1.28560351758664,0,7
15,-0.0980725680123052,16.7646196325401,1.63721293814208,1.89771416390716,-0.164992410368009,18.0760652954495,1.64014940153193,1.9395840348103,-0.0746691866050763,16.5101892655119,1.62248341054599,1.9028488769253,47.5,46.64,225,0.17,1.68500492570064,1.35490152738565,1.24387646733509,0,7
16,-0.102037616242071,16.9116843453245,1.51361067499569,1.82193835538397,0.143885684095416,17.4440629060239,1.54481547883935,1.85923461765969,-0.153249834663913,16.7904232162427,1.51853182536248,1.81367091385848,47.5,46.66,210,0.15,1.60734129890533,1.29895754434689,1.19126557137335,0,7
17,-0.307544618765854,17.2775271416596,3.0140724870107,2.22823748774091,-0.0795957324402043,17.5525123889254,2.94597025237993,2.24605361022094,-0.213584854142904,17.2546322392526,2.94660525771878,2.22318971970886,50,48.81,324,0.41,2.86078561334096,2.19114979235371,2.14429121374353,0,7
