idx,Skewness_X,Kurtosis_X,Variance_X,RMS_X,Skewness_Y,Kurtosis_Y,Variance_Y,RMS_Y,Skewness_Z,Kurtosis_Z,Variance_Z,RMS_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,-0.331592242251397,17.5012651262853,3.38785862082563,2.35532795162721,-0.266726181944951,17.282625992278,3.37801361963951,2.30717122959593,-0.225921777638373,17.5432404034962,3.31328781569467,2.32446156866169,45,43.72,349,0.44,2.70485622519889,2.45018371378701,2.64445430421516,0,4
2,-0.540057073693194,17.3000349164465,3.34834613178886,2.30297602779967,-0.481410099317166,18.2301531087601,3.11721184404726,2.29204246512635,-0.522652722621446,17.1721879971052,3.37197676539721,2.31588083548857,45,43.74,347,0.44,2.66926473920315,2.42034542416912,2.61231691051079,0,4
3,-0.149701242842842,16.8178064809248,3.31408245421597,2.29029790393526,-0.49409035434525,17.4523402492102,3.30977422428981,2.24842756074173,-0.352210118398986,17.0658430273506,3.35968649346373,2.28198293059944,45,43.76,345,0.43,2.63520857148101,2.38997045300387,2.57836304248273,0,4
4,-0.390033155243213,17.1473768599952,3.29914095563551,2.26695106264284,-0.377373375461817,17.3145662022264,3.29933209083843,2.30049517397666,-0.309847031363535,17.3662995623403,3.27476531303079,2.28195702427588,45,43.78,344,0.42,2.59931538326482,2.35487011055382,2.54227812186532,0,4
5,-0.425140058306473,17.784467668466,3.18781180361028,2.22646028698753,-0.351912502058435,17.0198864368539,3.27166703445655,2.27222623119837,-0.376874260719853,17.6552393441284,3.30724415814265,2.25065276369495,45,43.8,342,0.41,2.5672321080505,2.32517557482947,2.50958785444566,0,4
6,-0.233019828596075,17.14669981305,3.19344215963213,2.30403432971212,-0.258023386483167,17.1487119461906,3.27676382016689,2.28065209540995,-0.321456200935317,17.4579478058962,3.23819134617578,2.27987384877102,45,43.82,340,0.4,2.53083067341624,2.29192862837882,2.47043167172206,0,4
7,-0.252272504476934,17.3870626736769,3.19078412270983,2.24111432514684,-0.362273207894598,18.0213423457961,3.14326009391627,2.22209324587527,-0.285762439860204,17.634691510881,3.19983086127342,2.22021716118735,45,43.84,338,0.39,2.49515947559568,2.26187762511864,2.43436873009605,0,4
8,-0.32934287083346,17.096860132797,3.15326242594236,2.26068410218925,-0.195969457593021,17.3313628529571,3.05534791949673,2.28231758475533,-0.161459483564676,17.2071982434277,3.0961731749639,2.26522537386866,45,43.86,335,0.38,2.45173568840457,2.2256879098949,2.38824156915627,0,4
9,-0.448592799797205,17.7822087063852,3.07409992818477,2.2030912700384,-0.46315048955484,17.7251463195734,3.09677979666402,2.22798772697991,-0.417296920517414,17.9576108371868,3.12774542025982,2.20727757306516,45,43.88,332,0.37,2.40192366412619,2.18043249792474,2.33145188677405,0,4
10,-0.440362998342602,17.6310674214493,3.11348439893261,2.28404352520847,-0.443467875704914,17.8440816076876,3.04293732407088,2.22822401798997,-0.435427604608612,18.4594819684247,2.89501041582146,2.20985323370406,45,43.9,330,0.37,2.3740547857931,2.15384591468395,2.30575784168113,0,4
11,-0.205037096358214,17.3290626741091,2.99640081385579,2.27553680523053,-0.278083779744023,17.4921562406799,3.00406093481248,2.22453700046087,-0.204173470388437,17.7905947547056,3.01104197541618,2.26134318986022,45,43.92,327,0.35,2.33598674470011,2.12061441977379,2.26591975962299,0,4
12,-0.392567715168551,17.4358617582917,3.02950415399503,2.23382364094281,-0.420332861878255,17.6489013004778,3.04764117727354,2.27389163405627,-0.434421500660947,17.9119201948794,3.09037819814218,2.25782691228363,45,43.94,324,0.35,2.30285385908459,2.08910426621808,2.22976032622993,0,4
13,-0.381878058076994,17.6744252108627,2.97669889378416,2.20924246824054,-0.468170597413201,17.7889697553634,2.95504136450484,2.1561085370163,-0.49804645433959,17.9262851316776,2.94383456154684,2.17065948242891,45,43.96,321,0.34,2.25582163095784,2.04227112630289,2.18296372887922,0,4
14,-0.205564324412014,17.6997134588741,2.82983536303831,2.21259470478344,-0.234821103706283,17.675894184641,2.80954602795643,2.17063511960251,-0.224730731638368,17.4873651738009,2.87679294565561,2.1945325954869,45,43.98,319,0.33,2.21781151171672,2.00649543859406,2.14243872277634,0,4
15,-0.110900399897709,17.1406775363988,2.82093326670265,2.24320960363321,-0.222934020046858,17.6093882697001,2.8388513681989,2.19452357240265,-0.0777813097152149,18.5149069905738,2.72047454591328,2.19479187019807,45,44,314,0.32,2.16984910527562,1.95597056987351,2.08862953557288,0,4
16,-0.310935040672471,17.6336706649543,2.75588564236951,2.20636051688681,-0.336814577534862,18.4546127487957,2.67956616590685,2.14532961064581,-0.339832936815344,17.2439568935202,2.82472988794568,2.18975244883942,45,44.02,311,0.3,2.12780278950647,1.92085580880424,2.04808505594266,0,4
17,-0.342777628340611,17.9240513079751,2.7564872945761,2.11636906372313,-0.37513797882498,17.58668573147,2.81072375197823,2.17881236250911,-0.356682494704441,18.1961670451254,2.73341231933842,2.13521232822562,45,44.04,307,0.29,2.08617924324779,1.8796443418533,2.0024199893666,0,4
18,-0.229111452385448,17.9981579953543,2.71767644475255,2.16593766444582,-0.211664320892963,17.6980572488549,2.69351750175341,2.20926523934881,-0.0760073394515896,17.9890714610199,2.671165191692,2.18116808915799,45,44.06,303,0.28,2.0327646151989,1.8309026046934,1.95001171931247,0,4
19,-0.193161753809269,17.6741218597186,2.650089706696,2.16282028816222,-0.323153651008091,17.5150509373959,2.68159820028668,2.1371237840323,-0.384691272442234,18.0567094098379,2.55340264757667,2.11963845005016,45,44.08,298,0.27,1.9889499133641,1.78984103062461,1.90474514300315,0,4
20,-0.209312925299115,17.6507649080986,2.55906712453584,2.17288327707316,-0.308070679094364,17.7520423529081,2.59114757864621,2.13167670950813,-0.265643217769786,18.3822738539293,2.55956867688234,2.14644904212288,45,44.1,294,0.26,1.94593245551764,1.75037884764074,1.85950822767582,0,4
21,-0.25821431951769,18.6782813469849,2.46308400052604,2.1352295043426,0.0360032274415712,17.6964796680445,2.52299863045107,2.11230409434901,-0.080076325678768,17.5619130367523,2.52274509590451,2.11904294393015,45,44.12,289,0.25,1.89909135788183,1.70733012660539,1.81176740628655,0,4
22,-0.448531601285367,17.8150922433342,2.44580360999238,2.1009800288505,-0.250448633075234,17.5800212756613,2.4444319941847,2.14979744735585,-0.350259283569185,18.5743361203775,2.42802327572473,2.12080187760498,45,44.14,282,0.24,1.83972776655969,1.65084639078896,1.7493052789628,0,4
23,-0.146812042575232,18.3445155989755,2.33796043089988,2.11996194354304,-0.102967906450804,17.2815101933704,2.33702437250557,2.07255015395175,-0.204326635160999,18.2722398726052,2.35528679490703,2.10653459966518,45,44.16,277,0.23,1.78672961491705,1.60569276935903,1.69729625298064,0,4
24,-0.0353854680523068,17.8913214086867,2.31449599129419,2.06908219332247,-0.371153689213522,18.7086123681844,2.23761282982685,2.00908516860108,-0.229693634663409,17.5903659654041,2.28037815731959,2.04737254742757,45,44.18,269,0.21,1.73282490377337,1.55821459370857,1.64277118928907,0,4
25,-0.337216416425495,17.9019394282018,2.22628038238711,2.04914174268081,-0.0104900334605716,18.1827422294833,2.1557922538848,2.06897957842437,-0.19348666755951,17.5831558287417,2.19979506808904,2.05407047779617,45,44.2,262,0.2,1.67143303000566,1.50377636647132,1.58266514554086,0,4
26,-0.178664034349874,18.5316707031871,2.02959270358965,1.96317392118278,-0.109692121231481,18.1200035447765,2.0626137473646,2.01243043761943,-0.309869683353368,18.6218459637951,2.0370673413033,1.98964095826772,45,44.22,255,0.19,1.61469340713822,1.45689106912768,1.52841825497952,0,4
27,-0.271575265750854,17.4320489614749,2.00509654154435,1.98493392438988,-0.336453833436776,18.1138565067169,1.96007139474822,2.01013424223508,-0.161540633385199,16.6535770747318,1.99833791278533,1.99384340147698,45,44.24,247,0.18,1.55266794538034,1.40313830054701,1.4685766042986,0,4
28,-0.219909365342124,18.1310113201423,1.86442811227326,2.00077976375431,-0.28947380319619,17.4470134363246,1.86112233992218,1.95603419128218,-0.130682579454751,17.9790424882165,1.78935900232979,1.97150656681496,45,44.26,237,0.16,1.48796476020032,1.34291229245631,1.40536408169278,0,4
29,-0.125019221599958,17.4644672605519,1.70960919219496,1.90240417250671,-0.0954620383740431,16.8224465295018,1.6805122863434,1.9227184167349,-0.00152834898283809,17.3290212550865,1.65960110561934,1.90268626359376,45,44.28,224,0.14,1.38821966539197,1.25540046485438,1.31138902897324,0,4
30,-0.203646257739003,16.7331427320049,1.55639420701968,1.85931163063052,-0.360933436471236,17.7814547441611,1.51540028518179,1.82267414487953,-0.279260329573958,17.7005240770088,1.54582006173271,1.82345341241265,45,44.3,212,0.28,1.32404442902416,1.19420635959478,1.25008358022542,0,4
31,-0.39581286597911,18.6191638822247,3.17684295334185,2.29458958058912,-0.226385623760282,17.5702231090196,3.23082804122867,2.27292643420125,-0.206644163590963,17.6738039058005,3.31242306625901,2.2943064031515,47.5,46.24,349,0.44,2.71408794180251,2.44030875919303,2.63981461252257,0,4
32,-0.408729678820671,17.8800621880422,3.363768421018,2.30630067635187,-0.494544623767994,18.3650016475411,3.31808505129263,2.25857483256766,-0.366513944600949,18.5203521704491,3.28026675407804,2.27296919199119,47.5,46.26,347,0.43,2.67992793750035,2.40730074627234,2.60224687925878,0,4
33,-0.39790273305722,17.7699349540677,3.3514703021888,2.2924179385562,-0.319394065173568,17.697285308053,3.28691024524973,2.25177107257604,-0.567172457132828,18.4801402808979,3.22954980404546,2.24045257529836,47.5,46.28,345,0.42,2.64358270507453,2.37519143303785,2.57019107190413,0,4
34,-0.375651070997626,18.1379251968309,3.30736139660315,2.25170523944152,-0.273730329255978,17.8503368788406,3.26718612465566,2.27822912177007,-0.358867570270547,17.7844525169201,3.31450197678916,2.27439257863749,47.5,46.3,344,0.41,2.61024684707736,2.34277738013391,2.53904950836316,0,4
35,-0.454078374761334,18.1077377269643,3.18869994248778,2.26225939940403,-0.405036575963706,17.8970935719668,3.22642213797838,2.23449099601275,-0.431281807886167,17.9134055192971,3.21142473881829,2.24928677537379,47.5,46.32,341,0.4,2.56760215938567,2.30591302727506,2.49800463617094,0,4
36,-0.296955301551467,17.7738726225991,3.29184992594189,2.30215202831605,-0.419948204787971,17.781608745731,3.40791733424437,2.30360493990184,-0.335288610695181,18.4420027620724,3.10606996793754,2.2451516136559,47.5,46.34,338,0.38,2.52843154920717,2.26614990606137,2.45337971970146,0,4
37,-0.450307420131593,18.3176299111928,3.1451001826243,2.24798428981908,-0.43244002963087,18.2216795841435,3.1793199660305,2.22021731329101,-0.41653693432761,18.4495325104857,3.24231596704009,2.24482606852213,47.5,46.38,334,0.37,2.44544612414902,2.19620025138155,2.37414566560707,0,4
38,-0.497978327589536,18.4796535533411,3.14659584449089,2.25976902078398,-0.377053799374454,18.2396767148959,3.17627249933033,2.30578143394354,-0.42620836953969,18.5289266529513,3.14873922563142,2.27615308268694,47.5,46.4,333,0.36,2.41349523779405,2.16622064034934,2.34210914773356,0,4
